timestamp,open_btc,high_btc,low_btc,close_btc,RSI_btc,MACD_btc,MA_20_btc,Trendline_btc,volume_btc,open_xau,high_xau,low_xau,close_xau,RSI_xau,MACD_xau,MA_20_xau,Trendline_xau,volume_xau
2024-05-01 00:00:00+00:00,60611.0,60786.0,56500.0,58256.0,33.40394,-1447.27816,63889.75,63889.75,205253420.84577,2287.72,2328.2,2281.63,2318.09,53.69803,25.31672,2341.0035,2341.0035,69663
2024-05-02 00:00:00+00:00,58272.0,59623.0,56932.0,59099.0,36.27721,-1648.50382,63487.2,63487.2,100473944.89417,2319.33,2326.43,2285.5,2302.94,50.79028,21.57099,2341.632,2341.632,68516
2024-05-03 00:00:00+00:00,59076.0,63340.0,58829.0,62915.0,47.35076,-1482.96263,63430.25,63430.25,161064980.83433,2304.97,2320.59,2277.38,2300.95,50.40419,18.23173,2340.275,2340.275,67072
2024-05-06 00:00:00+00:00,64024.0,65513.0,62720.0,63164.0,47.86905,-956.73595,63333.6,63333.6,103787115.08661,2302.1,2331.99,2291.79,2324.31,54.75239,17.27121,2339.5675,2339.5675,71355
2024-05-07 00:00:00+00:00,63159.0,64389.0,62278.0,62320.0,45.72673,-934.25543,63385.7,63385.7,84575842.50716,2325.07,2329.88,2310.01,2313.76,52.51317,15.48024,2337.611,2337.611,65002
2024-05-08 00:00:00+00:00,62310.0,62996.0,60873.0,61181.0,42.93419,-996.8561,63269.0,63269.0,89887254.00008,2314.99,2321.32,2303.72,2308.63,51.41211,13.49142,2336.453,2336.453,66905
2024-05-09 00:00:00+00:00,61143.0,63409.0,60634.0,63075.0,48.55983,-883.4537,63231.7,63231.7,87431706.10859,2309.55,2347.17,2306.73,2345.1,58.13286,14.68877,2334.9785,2334.9785,67129
2024-05-10 00:00:00+00:00,63072.0,63876.0,60176.0,60793.0,43.0528,-966.57771,63021.85,63021.85,135541692.85314,2345.71,2378.32,2344.53,2360.77,60.65133,16.70949,2335.788,2335.788,72563
2024-05-13 00:00:00+00:00,61446.0,63444.0,60758.0,62934.0,49.59668,-850.50126,62371.15,62371.15,115288103.1668,2361.39,2364.42,2332.11,2336.45,55.11047,16.1622,2333.5525,2333.5525,66058
2024-05-14 00:00:00+00:00,62917.0,63075.0,61108.0,61543.0,45.82544,-837.25487,62235.35,62235.35,96054216.55299,2337.22,2359.61,2334.84,2357.82,58.68236,17.25396,2332.5105,2332.5105,66147
2024-05-15 00:00:00+00:00,61552.0,66471.0,61322.0,66242.0,57.5643,-442.48627,62322.8,62322.8,251362732.3106,2356.99,2390.23,2351.84,2387.21,63.03833,20.2572,2333.804,2333.804,69471
2024-05-16 00:00:00+00:00,66234.0,66766.0,64598.0,65252.0,54.86684,-207.12642,62398.15,62398.15,114848362.40508,2387.61,2397.25,2371.02,2376.11,60.44637,21.49385,2333.761,2333.761,80347
2024-05-17 00:00:00+00:00,65252.0,67482.0,65129.0,67053.0,58.66187,123.30226,62579.35,62579.35,114257304.22492,2377.85,2422.74,2374.05,2414.26,65.67084,25.26109,2334.956,2334.956,79735
2024-05-20 00:00:00+00:00,66255.0,71500.0,66074.0,71401.0,66.05657,1019.4227,63431.55,63431.55,191448747.46808,2423.02,2450.07,2407.4,2425.06,66.99973,28.7863,2339.927,2339.927,100493
2024-05-21 00:00:00+00:00,71435.0,71958.0,69156.0,70136.0,62.36115,1307.16584,64025.55,64025.55,138087006.6252,2427.0,2433.96,2406.43,2420.71,65.89332,30.87315,2344.887,2344.887,91548
2024-05-22 00:00:00+00:00,70155.0,70649.0,68879.0,69118.0,59.4775,1436.50116,64526.5,64526.5,106251699.4155,2421.23,2426.59,2375.06,2378.07,56.11174,28.75484,2348.0385,2348.0385,92511
